"id","year","season","percent"
"1",1640,"Winter",0
"2",1641,"Winter",0.246575343
"3",1642,"Winter",0.246575343
"4",1643,"Winter",0.112328767
"5",1644,"Winter",0
"6",1645,"Winter",0.104109589
"7",1646,"Winter",0.161643836
"8",1647,"Winter",0
"9",1648,"Winter",0
"10",1649,"Winter",0
"11",1650,"Winter",0
"12",1651,"Winter",0
"13",1652,"Winter",0
"14",1653,"Winter",0
"15",1654,"Winter",0
"16",1655,"Winter",0.084931507
"17",1656,"Winter",0.164383562
"18",1657,"Winter",0
"19",1658,"Winter",0
"20",1659,"Winter",0
"21",1660,"Winter",0
"22",1661,"Winter",0
"23",1662,"Winter",0.046575342
"24",1663,"Winter",0.071232877
"25",1664,"Winter",0
"26",1665,"Winter",0
"27",1666,"Winter",0
"28",1667,"Winter",0
"29",1668,"Winter",0.084931507
"30",1669,"Winter",0.161643836
"31",1670,"Winter",0
"32",1671,"Winter",0
"33",1672,"Winter",0
"34",1673,"Winter",0
"35",1674,"Winter",0
"36",1675,"Winter",0
"37",1676,"Winter",0
"38",1677,"Winter",0
"39",1678,"Winter",0
"40",1679,"Winter",0.002739726
"41",1680,"Winter",0
"42",1681,"Winter",0
"43",1682,"Winter",0
"44",1683,"Winter",0
"45",1684,"Winter",0
"46",1685,"Winter",0
"47",1686,"Winter",0
"48",1687,"Winter",0
"49",1688,"Winter",0
"50",1640,"Spring",0
"51",1641,"Spring",0.252054795
"52",1642,"Spring",0.252054795
"53",1643,"Spring",0
"54",1644,"Spring",0
"55",1645,"Spring",0.252054795
"56",1646,"Spring",0.169863014
"57",1647,"Spring",0
"58",1648,"Spring",0
"59",1649,"Spring",0
"60",1650,"Spring",0
"61",1651,"Spring",0
"62",1652,"Spring",0
"63",1653,"Spring",0
"64",1654,"Spring",0
"65",1655,"Spring",0
"66",1656,"Spring",0.252054795
"67",1657,"Spring",0
"68",1658,"Spring",0
"69",1659,"Spring",0
"70",1660,"Spring",0
"71",1661,"Spring",0
"72",1662,"Spring",0
"73",1663,"Spring",0.252054795
"74",1664,"Spring",0
"75",1665,"Spring",0
"76",1666,"Spring",0
"77",1667,"Spring",0
"78",1668,"Spring",0
"79",1669,"Spring",0.252054795
"80",1670,"Spring",0
"81",1671,"Spring",0
"82",1672,"Spring",0
"83",1673,"Spring",0
"84",1674,"Spring",0
"85",1675,"Spring",0
"86",1676,"Spring",0
"87",1677,"Spring",0
"88",1678,"Spring",0
"89",1679,"Spring",0.054794521
"90",1680,"Spring",0
"91",1681,"Spring",0
"92",1682,"Spring",0
"93",1683,"Spring",0
"94",1684,"Spring",0
"95",1685,"Spring",0
"96",1686,"Spring",0
"97",1687,"Spring",0
"98",1688,"Spring",0
"99",1640,"Summer",0
"100",1641,"Summer",0.224657534
"101",1642,"Summer",0.252054795
"102",1643,"Summer",0
"103",1644,"Summer",0
"104",1645,"Summer",0.252054795
"105",1646,"Summer",0
"106",1647,"Summer",0
"107",1648,"Summer",0
"108",1649,"Summer",0
"109",1650,"Summer",0
"110",1651,"Summer",0
"111",1652,"Summer",0
"112",1653,"Summer",0
"113",1654,"Summer",0
"114",1655,"Summer",0
"115",1656,"Summer",0.252054795
"116",1657,"Summer",0
"117",1658,"Summer",0
"118",1659,"Summer",0
"119",1660,"Summer",0
"120",1661,"Summer",0
"121",1662,"Summer",0
"122",1663,"Summer",0.252054795
"123",1664,"Summer",0
"124",1665,"Summer",0
"125",1666,"Summer",0
"126",1667,"Summer",0
"127",1668,"Summer",0
"128",1669,"Summer",0.232876712
"129",1670,"Summer",0
"130",1671,"Summer",0
"131",1672,"Summer",0
"132",1673,"Summer",0
"133",1674,"Summer",0
"134",1675,"Summer",0
"135",1676,"Summer",0
"136",1677,"Summer",0
"137",1678,"Summer",0
"138",1679,"Summer",0
"139",1680,"Summer",0
"140",1681,"Summer",0
"141",1682,"Summer",0
"142",1683,"Summer",0
"143",1684,"Summer",0
"144",1685,"Summer",0
"145",1686,"Summer",0
"146",1687,"Summer",0
"147",1688,"Summer",0
"148",1640,"Fall",0.024657534
"149",1641,"Fall",0.082191781
"150",1642,"Fall",0.252054795
"151",1643,"Fall",0
"152",1644,"Fall",0
"153",1645,"Fall",0.252054795
"154",1646,"Fall",0
"155",1647,"Fall",0
"156",1648,"Fall",0
"157",1649,"Fall",0
"158",1650,"Fall",0
"159",1651,"Fall",0
"160",1652,"Fall",0
"161",1653,"Fall",0
"162",1654,"Fall",0
"163",1655,"Fall",0.082191781
"164",1656,"Fall",0.115068493
"165",1657,"Fall",0
"166",1658,"Fall",0
"167",1659,"Fall",0
"168",1660,"Fall",0
"169",1661,"Fall",0
"170",1662,"Fall",0.167123288
"171",1663,"Fall",0.15890411
"172",1664,"Fall",0
"173",1665,"Fall",0
"174",1666,"Fall",0
"175",1667,"Fall",0
"176",1668,"Fall",0.232876712
"177",1669,"Fall",0
"178",1670,"Fall",0
"179",1671,"Fall",0
"180",1672,"Fall",0
"181",1673,"Fall",0
"182",1674,"Fall",0
"183",1675,"Fall",0
"184",1676,"Fall",0
"185",1677,"Fall",0
"186",1678,"Fall",0
"187",1679,"Fall",0
"188",1680,"Fall",0
"189",1681,"Fall",0
"190",1682,"Fall",0
"191",1683,"Fall",0
"192",1684,"Fall",0
"193",1685,"Fall",0
"194",1686,"Fall",0
"195",1687,"Fall",0
"196",1688,"Fall",0
