"date","citron","lemons","Pomagranates"
1640,,,
1641,990,2757,381
1642,,,
1643,,,
1644,132,1702,65
1645,462,4112,112
1646,447,4778,65
1647,,,
1648,,24,
1649,,,
1650,,,
1651,,,
1652,,,
1653,,,
1654,,,
1655,,,
1656,,7862,
1657,,700,
1658,,,
1659,0,87,0
1660,,,
1661,,,
1662,,,
1663,13140,,846
1664,638,1697,
1665,,,
1666,,,
1667,,,
1668,30,40,30
1669,,,
1670,127,60,75
1671,18,,18
1672,,175,
1673,,140,
1674,,,
1675,,,
1676,,,
1677,,,
1678,,,
1679,250,50,
1680,,,
1681,,,
1682,,,
1683,,,
1684,,,
1685,,,
1686,,,
1687,,,
1688,,,
