"date","candied lemon peel","cherry sauce","cherry sauce or marmalade","currant","dates","dried plums","Plums","preserved barberries","raisins"
1640,,,,,,,,,
1641,1.5,,,434,,,636,,425.5
1642,,,,,,,,,
1643,,,,,,,,,
1644,,0.875,,245.75,,,345,,214.75
1645,0,,60.5,580,,,1134,,496.75
1646,0,11,,663.25,0,,2070,,661.2
1647,,,,,,,,,
1648,,,,30,,,,,24
1649,,,,,,,,,
1650,,,,,,,,,
1651,,,,,,,,,
1652,,,,,,,,,
1653,,,,,,,,,
1654,,,,,,,,,
1655,,,,,,,,,
1656,173.75,,200,242.5,27,100,395,20,264
1657,,,,,,24,,,
1658,,,,,,,,,
1659,0,0,,42,,0,10,,49
1660,,,,,,,,,
1661,,,,,,,,,
1662,,,,,,,,,
1663,,31,,1937,28,0,5740,,859
1664,100,111,,416,,150,551,,369.5
1665,,,,,,,,,
1666,,,,,,,,,
1667,,,,,,,,,
1668,4,2,,6,0,6,63,,6
1669,,,,,,,,,
1670,10,,,12,,2,16,,26
1671,,,,24,,4,,,42
1672,21,,,60,,,,,90
1673,15.5,,,36.5,,,,,61
1674,,,,10,,,,,10
1675,,,,,,,,,
1676,,,,,,,,,
1677,,,,,,,,,
1678,,,,,,,,,
1679,,12,,20,,,55,,24
1680,,,,,,,,,
1681,,,,,,,,,
1682,,,,,,,,,
1683,,,,,,,,,
1684,,,,,,,,,
1685,,,,,,,,,
1686,,,,,,,,,
1687,,,,,,,,,
1688,,,,,,,,,
