"date","barley groats","buckwheat groats","millet/sorghum groats","oat groats","pearl barley","peas","water mannagrass","wheat flour"
1640,0,0,0,0,0,0,0,0
1641,2,261.5,178,459.5,662,1994.5,120.5,0
1642,0,0,0,0,0,0,0,0
1643,0,0,0,0,0,0,0,0
1644,149.5,455.5,60,463,432,1427,45.5,0
1645,1431.5,753,204,936,789,2195,97,0
1646,452,1470.5,456,1275,408.5,3390,51,0
1647,0,0,0,0,0,0,0,0
1648,0,0,0,0,0,0,0,0
1649,0,0,0,0,0,0,0,0
1650,0,0,0,0,0,0,0,0
1651,0,0,0,0,0,0,0,0
1652,0,0,0,0,0,0,0,0
1653,0,0,0,0,0,0,0,0
1654,0,0,0,0,0,0,0,0
1655,0,0,0,0,0,0,0,0
1656,0,0,0,0,0,0,0,0
1657,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0
1659,740,0,0,52,0,972,1,0
1660,0,0,0,0,0,0,0,0
1661,0,0,0,0,0,0,0,0
1662,48,0,0,0,0,0,0,0
1663,2842,1061,87,2295,1808,6246,53,0
1664,453,144,0,336,48,736,9,0
1665,0,0,0,0,0,0,0,0
1666,0,0,0,0,0,0,0,0
1667,0,0,0,0,0,0,0,0
1668,9,0,0,28,172,1401.5,0,0
1669,0,0,0,0,0,0,0,0
1670,3,3,0,0,0,0,0,0
1671,0,3,0,0,8,0,0,0
1672,0,0,0,0,0,0,0,0
1673,0,0,0,0,0,0,0,0
1674,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0
1676,0,0,0,0,0,0,0,0
1677,0,0,0,0,0,0,0,0
1678,0,0,0,0,0,0,0,0
1679,48,155,0,72,0,192,4,168
1680,0,0,0,0,0,0,0,0
1681,384,240,0,336,48,432,0,0
1682,0,0,0,0,0,0,0,0
1683,0,0,0,0,0,0,0,0
1684,0,0,0,0,0,0,0,0
1685,0,0,0,0,0,0,0,0
1686,0,0,0,0,0,0,0,0
1687,0,0,0,0,0,0,0,0
1688,0,0,0,0,0,0,0,0
