"date","carraway","cinnamon","cloves","ginger","muscat","nutmeg","pepper","safron","sugar"
1640,,,,,,,,,
1641,,23.2,13,204.72,26.2,14.828,217.59,7.9,2333
1642,,,,,,,,,
1643,,,,,,,,,
1644,,20.14,10.484,115.75,22.9,14.5,134.25,3.3,1524.4
1645,,35.203,17.328,221.75,42.14,22.03,247.8125,8.7,3414
1646,,41.6,18.2,335.2,41.3,22.9,344.3,15.7,3296.25
1647,,,,,,,,,
1648,,,0.25,4.25,0.25,,4.25,0.625,42
1649,,,,,,,,,
1650,,,,,,,,,
1651,,,,,,,,,
1652,,,,,,,,,
1653,,,,,,,,,
1654,,,,,,,,,
1655,,,,,,,,,
1656,11,83.25,52.125,79.75,76,62.75,95.25,9.06,4190.5
1657,,11.5,11,33.5,9,10,35.5,1.5,533.625
1658,,,,,,,,,
1659,0,0.6,0.5,5.75,0.9,0.5,5.75,0.4,77
1660,,,,,,,,,
1661,,,,,,,,,
1662,,,,,,,,,
1663,590,74.34,60.7,337.625,71.84,69.375,350.875,8.625,6365.5
1664,,31.8125,20.5625,112.25,37.5,36.125,120.5,5.375,2311.5
1665,,,,,,,,,
1666,,,,,,,,,
1667,,,,,,,,,
1668,,0.5,0.375,1,4.09,0.6,1.625,0.03125,30
1669,,,,,,,,,
1670,,0.8,0.344,4.375,1.3125,0.5,4.5,0.0625,77.5
1671,,0.7,0.375,3.5,1,0.69,3.5,0.03125,64
1672,,1.1,0.5625,6,1.625,1.1,6,0.4375,146
1673,,0.8,0.375,4.5,1.125,0.75,4.5,0.1875,92
1674,,2,2,6,2,2,6,0.5,40
1675,,,,,,,,,
1676,,,,,,,,,
1677,,,,,,,,,
1678,,,,,,,,,
1679,,1.5,1.7,5.5,1.25,1.25,5.5,0.325,145.75
1680,,,,,,,,,
1681,,,,,,,,,
1682,,,,,,,,,
1683,,,,,,,,,
1684,,,,,,,,,
1685,,,,,,,,,
1686,,,,,,,,,
1687,,,,,,,,,
1688,,,,,,,,,
